University Name,Location,Type,Average Annual Fees (USD),Popular Courses,Academic Requirements,Test Score Requirements
University College of Kristianstad,"Sweden, Sweden",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University College of Trollhättan/Uddevalla,"Sweden, Sweden",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Karlstad University,"Sweden, Sweden",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Karolinska Institute Stockholm,"Sweden, Sweden",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
"University College of Arts, Crafts and Design","Sweden, Sweden",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
KTH Royal Institute of Technology,"Sweden, Sweden",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Stockholm Institute of Education,"Sweden, Sweden",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Linköping University,"Sweden, Sweden",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Lund University,"Sweden, Sweden",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Lulea University of Technology,"Sweden, Sweden",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Malmö University College,"Sweden, Sweden",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Mälardalen University,"Sweden, Sweden",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Mid-Sweden University,"Sweden, Sweden",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Nordic School of Public Health,"Sweden, Sweden",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Örebro University,"Sweden, Sweden",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Södertörn University College,"Sweden, Sweden",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Swedish University of Agricultural Sciences,"Sweden, Sweden",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Free University Stockholm,"Sweden, Sweden",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Stockholm University,"Sweden, Sweden",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Umea University,"Sweden, Sweden",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Uppsala University,"Sweden, Sweden",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Växjö University,"Sweden, Sweden",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
World Maritime University,"Sweden, Sweden",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Oslo School of Architecture,"Norway, Norway",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Norwegian School of Management BI,"Norway, Norway",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Agder University College,"Norway, Norway",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Bergen University College,"Norway, Norway",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Bodo Regional University,"Norway, Norway",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Finnmark University College,"Norway, Norway",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Lillehammer University College,"Norway, Norway",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Molde University College,"Norway, Norway",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
National College of Art and Design,"Norway, Norway",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Norwegian School of Economics and Business Administration,"Norway, Norway",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Norwegian University of Sport and Physical Education,"Norway, Norway",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Norway's Information Technology University College,"Norway, Norway",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Norwegian Teacher Academy for Studies in Religion and Education,"Norway, Norway",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Agricultural University of Norway,"Norway, Norway",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Norwegian State Academy of Music,"Norway, Norway",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Norwegian University of Science and Technology,"Norway, Norway",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Oslo National Academy of Fine Arts,"Norway, Norway",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of Bergen,"Norway, Norway",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of Oslo,"Norway, Norway",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of Stavanger,"Norway, Norway",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of Tromsø,"Norway, Norway",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Norwegian University of Life Sciences,"Norway, Norway",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Norwegian College of Veterinary Medicine,"Norway, Norway",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Kristiania University College,"Østlandet, Norway",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
University of Agder,"Agder, Norway",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Aichi Shukutoku University,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Aichi Bunkyo University,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Aichi University of Education,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Aichi Prefectural University of Fine Arts & Music,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Aichi Gakuin University,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Aichi Medical University,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Aichi Prefectural University,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Aichi University,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Aikoku Gakuen University,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Aichi Institute of Technology,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Akita University of Economics and Law,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Akita University,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
St. Andrew's University,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Aomori Chuoh Gakuin University,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Aomori University,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Aoyama Gakuin University,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Ritsumeikan Asia Pacific University,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Asahikawa Medical College,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Asahikawa University,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
"National Institute of Technology, Asahikawa College","Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Asahi University,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Ashikaga Institute of Technology,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Ashiya University,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Asia University,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Aichi Sangyo University,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Atomi College,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
"American University Extension, Okinawa","Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Aomori University of Health and Welfare,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Azabu University,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Baika Women's College,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Baiko Women's College,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Beppu University,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
International Budo University,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Bukkyo University,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Bunka Women's University,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Bunkyo University,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Tokushima Bunri University,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Chuo Gakuin University,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Chiba University,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Chikushi Jogakuen University,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Chubu University,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Chubu Gakuin University & Chubu Women's College,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Chukyo Women's University,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Chukyo Gakuin University,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Chukyo University,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Chuo University,"Japan, Japan",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Sun Yat-Sen University,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Hunan University,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Anhui Medical University,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Anhui Normal University,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Anhui Technical College of Water Resources and Hydroelectric Power,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Anhui University of Traditional Chinese Medicine,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Anhui University,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Anhui University of Finance and Economics,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Beijing University of Agriculture,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Beijing Foreign Studies University,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Bohai University,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Beijing International Studies University,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Beijing Institute of Technology,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Beijing Information Science and Technology University,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Beijing Jiaotong University,"Beijing, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
China Agriculture University East,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Beijing Forestry University,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Beijing Medical University,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Beijing Petroleum University,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Beijing Polytechnic University,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Beijing University of Chinese Medicine and Pharmacology,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Beijing Language and Culture University,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Beijing Normal University,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Beijing Sport University,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Beijing University of Aeronautics and Astronautics,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Beijing University of Chemical Technology,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Beijing University of Posts and Telecommunications,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Central Academy of Fine Art,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Civil Aviation University of China,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
China Agricultural University,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Central China Normal University,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Changchun University of Technology,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Chengdu University,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Chengdu University of Traditional Chinese Medicine,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Chengdu University of Technology,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
China Foreign Affairs University,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
China Academy of Art,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Chengdu Institute of Sichuan International Studies University,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
China Medical University Shenyang,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Changchun Teachers College,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Capital Normal University,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Chinese People's Public Security University,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
China Pharmaceutical University Nanjing,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Capital University of Medical Sciences,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Chongqing Education College,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Chongqing Vocational College of Public Transportation,"China, China",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Thakur College of Engineering and Technology,"Mahārāshtra, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Atharva College of Engineering,"Mumbai, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
Bhagwan Parshuram Institute of Technology,"Delhi, India",Public,"$10,000 - $35,000","STEM, Business, Social Sciences",Secondary School Diploma (GPA 3.0+),IELTS 6.5 / TOEFL 85+ / Local Entrance Exam
